"datetime_id","date_id","month","day","hour","volume_of_ISSR"
1,1,5,17,0,0.714285714285714
2,1,5,17,1,0.529761904761905
3,1,5,17,2,0.422619047619048
4,1,5,17,3,0.666666666666667
5,1,5,17,4,0.684523809523809
6,1,5,17,5,0.589285714285714
7,1,5,17,6,0.684523809523809
8,1,5,17,7,0.726190476190476
9,1,5,17,8,0.803571428571428
10,1,5,17,9,2.02380952380952
11,1,5,17,10,1.99404761904762
12,1,5,17,11,1.80357142857143
13,1,5,17,12,2.13690476190476
14,1,5,17,13,2.73214285714286
15,1,5,17,14,2.70238095238095
16,1,5,17,15,2.47619047619048
17,1,5,17,16,1.48809523809524
18,1,5,17,17,1.04166666666667
19,1,5,17,18,0.845238095238095
20,1,5,17,19,0.809523809523809
21,1,5,17,20,0.690476190476191
22,1,5,17,21,1.1547619047619
23,1,5,17,22,1.0297619047619
24,1,5,17,23,1.19047619047619
25,2,5,18,0,1.20238095238095
26,2,5,18,1,1.18452380952381
27,2,5,18,2,0.988095238095238
28,2,5,18,3,0.535714285714286
29,2,5,18,4,0.55952380952381
30,2,5,18,5,0.779761904761905
31,2,5,18,6,0.738095238095238
32,2,5,18,7,0.642857142857143
33,2,5,18,8,0.654761904761905
34,2,5,18,9,1.16666666666667
35,2,5,18,10,1.25
36,2,5,18,11,1.32142857142857
37,2,5,18,12,1.48214285714286
38,2,5,18,13,1.80952380952381
39,2,5,18,14,1.6547619047619
40,2,5,18,15,1.51190476190476
41,2,5,18,16,0.940476190476191
42,2,5,18,17,1.02380952380952
43,2,5,18,18,1.04166666666667
44,2,5,18,19,1.33928571428571
45,2,5,18,20,1.2202380952381
46,2,5,18,21,2.05357142857143
47,2,5,18,22,2.14880952380952
48,2,5,18,23,2.04761904761905
49,3,5,19,0,1.83333333333333
50,3,5,19,1,1.76785714285714
51,3,5,19,2,2.16666666666667
52,3,5,19,3,2.14880952380952
53,3,5,19,4,2.16666666666667
54,3,5,19,5,2.30952380952381
55,3,5,19,6,2.0297619047619
56,3,5,19,7,2.11904761904762
57,3,5,19,8,2.21428571428571
58,3,5,19,9,2.23214285714286
59,3,5,19,10,2.30357142857143
60,3,5,19,11,2.16666666666667
61,3,5,19,12,1.91071428571429
62,3,5,19,13,2.0952380952381
63,3,5,19,14,2.08928571428571
64,3,5,19,15,1.77380952380952
65,3,5,19,16,1.20238095238095
66,3,5,19,17,1.07142857142857
67,3,5,19,18,1.04761904761905
68,3,5,19,19,1.20238095238095
69,3,5,19,20,1.16666666666667
70,3,5,19,21,0.720238095238095
71,3,5,19,22,0.452380952380952
72,3,5,19,23,0.339285714285714
73,4,5,20,0,0.380952380952381
74,4,5,20,1,0.636904761904762
75,4,5,20,2,0.916666666666667
76,4,5,20,3,0.773809523809524
77,4,5,20,4,0.875
78,4,5,20,5,0.928571428571429
79,4,5,20,6,0.892857142857143
80,4,5,20,7,1.14285714285714
81,4,5,20,8,1.32738095238095
82,4,5,20,9,1.80357142857143
83,4,5,20,10,1.94047619047619
84,4,5,20,11,1.97619047619048
85,4,5,20,12,1.67857142857143
86,4,5,20,13,1.69047619047619
87,4,5,20,14,2.02380952380952
88,4,5,20,15,1.91071428571429
89,4,5,20,16,1.36309523809524
90,4,5,20,17,1.17857142857143
91,4,5,20,18,1.25595238095238
92,4,5,20,19,1.33928571428571
93,4,5,20,20,1.41666666666667
94,4,5,20,21,1.29166666666667
95,4,5,20,22,0.755952380952381
96,4,5,20,23,0.684523809523809
97,5,5,21,0,0.755952380952381
98,5,5,21,1,0.767857142857143
99,5,5,21,2,0.732142857142857
100,5,5,21,3,0.75
101,5,5,21,4,0.886904761904762
102,5,5,21,5,0.958333333333333
103,5,5,21,6,0.809523809523809
104,5,5,21,7,0.446428571428571
105,5,5,21,8,0.386904761904762
106,5,5,21,9,0.744047619047619
107,5,5,21,10,0.625
108,5,5,21,11,0.815476190476191
109,5,5,21,12,0.839285714285714
110,5,5,21,13,0.785714285714286
111,5,5,21,14,1.00595238095238
112,5,5,21,15,1.30357142857143
113,5,5,21,16,1.13095238095238
114,5,5,21,17,0.738095238095238
115,5,5,21,18,0.678571428571429
116,5,5,21,19,0.494047619047619
117,5,5,21,20,0.369047619047619
118,5,5,21,21,0.994047619047619
119,5,5,21,22,0.732142857142857
120,5,5,21,23,0.678571428571429
121,6,5,22,0,0.613095238095238
122,6,5,22,1,0.476190476190476
123,6,5,22,2,0.446428571428571
124,6,5,22,3,0.446428571428571
125,6,5,22,4,0.386904761904762
126,6,5,22,5,0.327380952380952
127,6,5,22,6,0.488095238095238
128,6,5,22,7,0.607142857142857
129,6,5,22,8,0.785714285714286
130,6,5,22,9,0.744047619047619
131,6,5,22,10,0.964285714285714
132,6,5,22,11,1.42261904761905
133,6,5,22,12,1.32142857142857
134,6,5,22,13,1.06547619047619
135,6,5,22,14,1.30952380952381
136,6,5,22,15,1.78571428571429
137,6,5,22,16,0.351190476190476
138,6,5,22,17,0.255952380952381
139,6,5,22,18,0.178571428571429
140,6,5,22,19,0.208333333333333
141,6,5,22,20,0.25
142,6,5,22,21,0.428571428571429
143,6,5,22,22,0.178571428571429
144,6,5,22,23,0.273809523809524
145,7,5,23,0,0.392857142857143
146,7,5,23,1,0.273809523809524
147,7,5,23,2,0.273809523809524
148,7,5,23,3,0.470238095238095
149,7,5,23,4,0.803571428571428
150,7,5,23,5,0.767857142857143
151,7,5,23,6,0.845238095238095
152,7,5,23,7,0.809523809523809
153,7,5,23,8,0.702380952380952
154,7,5,23,9,1.33928571428571
155,7,5,23,10,1.69047619047619
156,7,5,23,11,1.44047619047619
157,7,5,23,12,1.45833333333333
158,7,5,23,13,1.58928571428571
159,7,5,23,14,1.60119047619048
160,7,5,23,15,1.76190476190476
161,7,5,23,16,0.976190476190476
162,7,5,23,17,0.964285714285714
163,7,5,23,18,0.797619047619048
164,7,5,23,19,0.630952380952381
165,7,5,23,20,0.755952380952381
166,7,5,23,21,1.03571428571429
167,7,5,23,22,1.22619047619048
168,7,5,23,23,1.6547619047619
169,8,5,24,0,1.8452380952381
170,8,5,24,1,1.71428571428571
171,8,5,24,2,1.98809523809524
172,8,5,24,3,1.69047619047619
173,8,5,24,4,1.58928571428571
174,8,5,24,5,1.35119047619048
175,8,5,24,6,1.31547619047619
176,8,5,24,7,1.32738095238095
177,8,5,24,8,1.18452380952381
178,8,5,24,9,1.4702380952381
179,8,5,24,10,1.33928571428571
180,8,5,24,11,1.33928571428571
181,8,5,24,12,1.73809523809524
182,8,5,24,13,2.22619047619048
183,8,5,24,14,2.61309523809524
184,8,5,24,15,2.48214285714286
185,8,5,24,16,1.0952380952381
186,8,5,24,17,1.01190476190476
187,8,5,24,18,1.13690476190476
188,8,5,24,19,1.19642857142857
189,8,5,24,20,1.38690476190476
190,8,5,24,21,1.31547619047619
191,8,5,24,22,1.26785714285714
192,8,5,24,23,1.0297619047619
193,9,5,25,0,0.851190476190476
194,9,5,25,1,0.684523809523809
195,9,5,25,2,0.541666666666667
196,9,5,25,3,0.505952380952381
197,9,5,25,4,0.529761904761905
198,9,5,25,5,0.708333333333333
199,9,5,25,6,0.636904761904762
200,9,5,25,7,0.648809523809524
201,9,5,25,8,0.636904761904762
202,9,5,25,9,1.19047619047619
203,9,5,25,10,1.33333333333333
204,9,5,25,11,1.60119047619048
205,9,5,25,12,1.70833333333333
206,9,5,25,13,2.01785714285714
207,9,5,25,14,1.875
208,9,5,25,15,1.8452380952381
209,9,5,25,16,1.125
210,9,5,25,17,0.803571428571428
211,9,5,25,18,0.476190476190476
212,9,5,25,19,0.291666666666667
213,9,5,25,20,0.31547619047619
214,9,5,25,21,0.470238095238095
215,9,5,25,22,0.273809523809524
216,9,5,25,23,0.148809523809524
217,10,5,26,0,0.208333333333333
218,10,5,26,1,0.238095238095238
219,10,5,26,2,0.333333333333333
220,10,5,26,3,0.464285714285714
221,10,5,26,4,0.494047619047619
222,10,5,26,5,0.857142857142857
223,10,5,26,6,1.00595238095238
224,10,5,26,7,1.23214285714286
225,10,5,26,8,1.19047619047619
226,10,5,26,9,1.13690476190476
227,10,5,26,10,1.14285714285714
228,10,5,26,11,1.08333333333333
229,10,5,26,12,1.04761904761905
230,10,5,26,13,1.23214285714286
231,10,5,26,14,1.11904761904762
232,10,5,26,15,1.0952380952381
233,10,5,26,16,0.863095238095238
234,10,5,26,17,0.684523809523809
235,10,5,26,18,0.642857142857143
236,10,5,26,19,0.625
237,10,5,26,20,0.726190476190476
238,10,5,26,21,0.613095238095238
239,10,5,26,22,0.720238095238095
240,10,5,26,23,0.75
241,11,5,27,0,0.75
242,11,5,27,1,0.577380952380952
243,11,5,27,2,0.827380952380952
244,11,5,27,3,0.55952380952381
245,11,5,27,4,0.375
246,11,5,27,5,0.375
247,11,5,27,6,0.291666666666667
248,11,5,27,7,0.523809523809524
249,11,5,27,8,0.505952380952381
250,11,5,27,9,1.25595238095238
251,11,5,27,10,1.48214285714286
252,11,5,27,11,1.6547619047619
253,11,5,27,12,1.78571428571429
254,11,5,27,13,2.11904761904762
255,11,5,27,14,2.375
256,11,5,27,15,2.48214285714286
257,11,5,27,16,1.89880952380952
258,11,5,27,17,1.77380952380952
259,11,5,27,18,1.26785714285714
260,11,5,27,19,1.04166666666667
261,11,5,27,20,0.922619047619048
262,11,5,27,21,1.32142857142857
263,11,5,27,22,1.20833333333333
264,11,5,27,23,0.809523809523809
265,12,5,28,0,0.773809523809524
266,12,5,28,1,0.56547619047619
267,12,5,28,2,0.327380952380952
268,12,5,28,3,0.267857142857143
269,12,5,28,4,0.386904761904762
270,12,5,28,5,0.464285714285714
271,12,5,28,6,0.380952380952381
272,12,5,28,7,0.505952380952381
273,12,5,28,8,0.505952380952381
274,12,5,28,9,0.833333333333333
275,12,5,28,10,1.36309523809524
276,12,5,28,11,1.39880952380952
277,12,5,28,12,1.30357142857143
278,12,5,28,13,1.05357142857143
279,12,5,28,14,0.583333333333333
280,12,5,28,15,0.166666666666667
281,12,5,28,16,0.107142857142857
282,12,5,28,17,0.113095238095238
283,12,5,28,18,0.327380952380952
284,12,5,28,19,0.244047619047619
285,12,5,28,20,0.357142857142857
286,12,5,28,21,0.595238095238095
287,12,5,28,22,0.755952380952381
288,12,5,28,23,0.738095238095238
289,13,5,29,0,0.5
290,13,5,29,1,0.5
291,13,5,29,2,0.375
292,13,5,29,3,0.19047619047619
293,13,5,29,4,0.160714285714286
294,13,5,29,5,0.345238095238095
295,13,5,29,6,0.291666666666667
296,13,5,29,7,0.43452380952381
297,13,5,29,8,0.452380952380952
298,13,5,29,9,0.255952380952381
299,13,5,29,10,0.494047619047619
300,13,5,29,11,0.523809523809524
301,13,5,29,12,0.571428571428571
302,13,5,29,13,0.648809523809524
303,13,5,29,14,0.571428571428571
304,13,5,29,15,0.601190476190476
305,13,5,29,16,0.142857142857143
306,13,5,29,17,0.0833333333333333
307,13,5,29,18,0.244047619047619
308,13,5,29,19,0.339285714285714
309,13,5,29,20,0.363095238095238
310,13,5,29,21,0.404761904761905
311,13,5,29,22,0.30952380952381
312,13,5,29,23,0.375
313,14,5,30,0,0.25
314,14,5,30,1,0.285714285714286
315,14,5,30,2,0.255952380952381
316,14,5,30,3,0.142857142857143
317,14,5,30,4,0.107142857142857
318,14,5,30,5,0.392857142857143
319,14,5,30,6,0.577380952380952
320,14,5,30,7,0.708333333333333
321,14,5,30,8,0.708333333333333
322,14,5,30,9,0.732142857142857
323,14,5,30,10,1.44642857142857
324,14,5,30,11,1.79761904761905
325,14,5,30,12,1.98214285714286
326,14,5,30,13,1.44047619047619
327,14,5,30,14,1.35714285714286
328,14,5,30,15,1.11309523809524
329,14,5,30,16,0.684523809523809
330,14,5,30,17,0.75
331,14,5,30,18,0.732142857142857
332,14,5,30,19,0.642857142857143
333,14,5,30,20,0.708333333333333
334,14,5,30,21,0.714285714285714
335,14,5,30,22,0.607142857142857
