"datetime_id","date_id","month","day","hour","volume_of_ISSR"
1,1,5,17,0,1.7797619047619
2,1,5,17,1,1.59722222222222
3,1,5,17,2,1.36904761904762
4,1,5,17,3,1.41468253968254
5,1,5,17,4,1.42857142857143
6,1,5,17,5,1.4484126984127
7,1,5,17,6,1.44444444444444
8,1,5,17,7,1.47420634920635
9,1,5,17,8,1.6031746031746
10,1,5,17,9,2.16071428571429
11,1,5,17,10,2.58134920634921
12,1,5,17,11,2.8015873015873
13,1,5,17,12,2.89087301587302
14,1,5,17,13,3.21825396825397
15,1,5,17,14,3.19444444444445
16,1,5,17,15,3.24206349206349
17,1,5,17,16,1.97222222222222
18,1,5,17,17,1.65674603174603
19,1,5,17,18,1.46428571428571
20,1,5,17,19,1.43253968253968
21,1,5,17,20,1.38492063492063
22,1,5,17,21,1.80555555555556
23,1,5,17,22,1.77777777777778
24,1,5,17,23,1.99603174603175
25,2,5,18,0,2.00595238095238
26,2,5,18,1,1.91865079365079
27,2,5,18,2,1.82539682539683
28,2,5,18,3,1.24007936507937
29,2,5,18,4,1.30952380952381
30,2,5,18,5,1.4484126984127
31,2,5,18,6,1.43253968253968
32,2,5,18,7,1.32142857142857
33,2,5,18,8,1.28174603174603
34,2,5,18,9,1.6984126984127
35,2,5,18,10,1.96428571428571
36,2,5,18,11,2.14880952380952
37,2,5,18,12,2.37896825396825
38,2,5,18,13,2.75396825396825
39,2,5,18,14,2.90873015873016
40,2,5,18,15,2.85912698412698
41,2,5,18,16,1.74603174603175
42,2,5,18,17,1.88888888888889
43,2,5,18,18,1.84920634920635
44,2,5,18,19,2.23214285714286
45,2,5,18,20,2.19246031746032
46,2,5,18,21,2.88690476190476
47,2,5,18,22,3.08134920634921
48,2,5,18,23,2.63690476190476
49,3,5,19,0,2.27777777777778
50,3,5,19,1,2.12103174603175
51,3,5,19,2,2.4781746031746
52,3,5,19,3,2.37301587301587
53,3,5,19,4,2.34523809523809
54,3,5,19,5,2.43055555555556
55,3,5,19,6,2.17460317460317
56,3,5,19,7,2.19642857142857
57,3,5,19,8,2.07539682539683
58,3,5,19,9,2.00595238095238
59,3,5,19,10,2.09325396825397
60,3,5,19,11,2.35714285714286
61,3,5,19,12,2.2718253968254
62,3,5,19,13,2.3015873015873
63,3,5,19,14,2.16865079365079
64,3,5,19,15,2.03373015873016
65,3,5,19,16,1.40079365079365
66,3,5,19,17,1.26984126984127
67,3,5,19,18,1.20039682539683
68,3,5,19,19,1.21825396825397
69,3,5,19,20,1.21825396825397
70,3,5,19,21,1.10119047619048
71,3,5,19,22,0.886904761904762
72,3,5,19,23,0.726190476190476
73,4,5,20,0,0.726190476190476
74,4,5,20,1,0.630952380952381
75,4,5,20,2,0.734126984126984
76,4,5,20,3,0.734126984126984
77,4,5,20,4,0.68452380952381
78,4,5,20,5,0.859126984126984
79,4,5,20,6,1.00198412698413
80,4,5,20,7,1.125
81,4,5,20,8,1.14484126984127
82,4,5,20,9,2.16666666666667
83,4,5,20,10,2.33531746031746
84,4,5,20,11,2.24801587301587
85,4,5,20,12,2.03373015873016
86,4,5,20,13,2.11111111111111
87,4,5,20,14,2.0297619047619
88,4,5,20,15,2.18253968253968
89,4,5,20,16,1.5218253968254
90,4,5,20,17,1.3531746031746
91,4,5,20,18,1.33134920634921
92,4,5,20,19,1.48611111111111
93,4,5,20,20,1.5297619047619
94,4,5,20,21,1.5297619047619
95,4,5,20,22,1.20039682539683
96,4,5,20,23,1.32539682539683
97,5,5,21,0,1.41071428571429
98,5,5,21,1,1.54166666666667
99,5,5,21,2,1.60515873015873
100,5,5,21,3,1.60912698412698
101,5,5,21,4,1.7281746031746
102,5,5,21,5,1.8234126984127
103,5,5,21,6,1.96230158730159
104,5,5,21,7,1.78968253968254
105,5,5,21,8,1.6468253968254
106,5,5,21,9,1.58928571428571
107,5,5,21,10,1.48809523809524
108,5,5,21,11,1.76190476190476
109,5,5,21,12,2.21825396825397
110,5,5,21,13,2.38492063492064
111,5,5,21,14,2.3015873015873
112,5,5,21,15,2.34126984126984
113,5,5,21,16,1.6984126984127
114,5,5,21,17,1.26388888888889
115,5,5,21,18,1.16666666666667
116,5,5,21,19,0.892857142857143
117,5,5,21,20,0.712301587301587
118,5,5,21,21,1.15079365079365
119,5,5,21,22,0.922619047619048
120,5,5,21,23,0.988095238095238
121,6,5,22,0,0.876984126984127
122,6,5,22,1,0.815476190476191
123,6,5,22,2,0.736111111111111
124,6,5,22,3,0.636904761904762
125,6,5,22,4,0.571428571428571
126,6,5,22,5,0.64484126984127
127,6,5,22,6,0.740079365079365
128,6,5,22,7,0.771825396825397
129,6,5,22,8,0.807539682539683
130,6,5,22,9,0.880952380952381
131,6,5,22,10,1.29761904761905
132,6,5,22,11,1.79166666666667
133,6,5,22,12,1.83531746031746
134,6,5,22,13,1.77777777777778
135,6,5,22,14,2.04166666666667
136,6,5,22,15,2.41071428571429
137,6,5,22,16,0.807539682539683
138,6,5,22,17,0.742063492063492
139,6,5,22,18,0.621031746031746
140,6,5,22,19,0.64484126984127
141,6,5,22,20,0.732142857142857
142,6,5,22,21,0.998015873015873
143,6,5,22,22,0.956349206349206
144,6,5,22,23,1.04761904761905
145,7,5,23,0,0.845238095238095
146,7,5,23,1,0.76984126984127
147,7,5,23,2,0.615079365079365
148,7,5,23,3,0.609126984126984
149,7,5,23,4,0.910714285714286
150,7,5,23,5,0.964285714285714
151,7,5,23,6,0.96031746031746
152,7,5,23,7,1.00793650793651
153,7,5,23,8,1.06150793650794
154,7,5,23,9,1.6031746031746
